time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/std,train/approx_kl,train/clip_range,train/explained_variance
2,924,2048,205.125,1000.0,1,,,,,,,,,,,
5,760,4096,210.9375,1000.0,2,10,-7.0946880504488945,1e-05,-0.002251030330080539,17.771037969738245,0.000537109375,7.876562118530273,0.9999564290046692,0.0008966415,0.2,-0.019257068634033203
8,730,6144,207.91666666666666,1000.0,3,20,-7.094627411663533,1e-05,-0.004123329576395917,17.34293276630342,0.002685546875,7.77881383895874,0.9999677538871765,0.0017607589,0.2,0.2413386106491089
11,715,8192,208.03125,1000.0,4,30,-7.094273708760738,1e-05,-0.0014979804844188038,9.26722200475633,0.002392578125,8.03543472290039,0.9998151659965515,0.0020317966,0.2,0.4951053261756897
14,707,10240,213.375,1000.0,5,40,-7.093814931809902,1e-05,-0.0022825173422461376,10.35127240382135,0.0013671875,2.6463582515716553,0.9998305439949036,0.0008799551,0.2,0.646298736333847
17,701,12288,214.375,1000.0,6,50,-7.094812899827957,1e-05,-0.00295758549546008,12.367041943222285,0.00341796875,4.782983779907227,1.000260353088379,0.0013755017,0.2,0.7252155244350433
20,697,14336,215.14285714285714,1000.0,7,60,-7.097240521013736,1e-05,-0.002359142171917483,12.438250141590833,0.00283203125,7.613135814666748,1.0007411241531372,0.001443215,0.2,0.819157600402832
23,695,16384,216.4375,1000.0,8,70,-7.098947951197625,1e-05,-0.0028374242639984002,9.492165358364582,0.002880859375,25.972896575927734,1.0009610652923584,0.0009889742,0.2,0.8558125644922256
26,692,18432,219.04166666666666,1000.0,9,80,-7.099597676098346,1e-05,-0.002517699185409583,13.764849919825792,0.0021484375,1.3096755743026733,1.0010151863098145,0.0013144701,0.2,0.8102567046880722
29,691,20480,220.8375,1000.0,10,90,-7.100176110863686,1e-05,-0.0034774035186273975,14.425845347344875,0.006396484375,4.981758117675781,1.001198410987854,0.0022035723,0.2,0.847803607583046
32,690,22528,221.1931818181818,1000.0,11,100,-7.101320287585258,1e-05,-0.0007313980400795117,16.548388489335775,0.0013671875,8.163996696472168,1.0014641284942627,0.001228774,0.2,0.8470312058925629
35,689,24576,223.48958333333334,1000.0,12,110,-7.10253405123949,1e-05,-0.0030905829211405945,17.332164897024633,0.00302734375,1.8201639652252197,1.0017340183258057,0.0015158344,0.2,0.843301385641098
38,687,26624,226.18269230769232,1000.0,13,120,-7.104064412415028,1e-05,-0.002431663335300982,18.51426747366786,0.002783203125,1.0352410078048706,1.0020239353179932,0.00068212184,0.2,0.8542246669530869
41,686,28672,227.41071428571428,1000.0,14,130,-7.105886840820313,1e-05,-0.0014255431728088298,17.81810062378645,0.0025390625,54.34741973876953,1.0025219917297363,0.00073605427,0.2,0.8699383437633514
44,685,30720,228.99166666666667,1000.0,15,140,-7.10859643816948,1e-05,-0.0004435637551068794,18.20561337918043,0.001513671875,6.445799827575684,1.0030937194824219,0.00091488403,0.2,0.8632431328296661
47,684,32768,229.7421875,1000.0,16,150,-7.111148765683174,1e-05,-0.0005002842946851161,18.104861043393612,0.000390625,2.096428394317627,1.003510594367981,0.0005117497,0.2,0.8663638979196548
50,684,34816,229.97794117647058,1000.0,17,160,-7.112819647789001,1e-05,-0.0015097331583092456,17.127127020061018,0.001513671875,3.712585210800171,1.0037779808044434,0.0010769414,0.2,0.8765276148915291
53,684,36864,232.76388888888889,1000.0,18,170,-7.113960728049278,1e-05,-0.0037855131740798242,19.28767624422908,0.004345703125,1.6720924377441406,1.003954529762268,0.0029412662,0.2,0.8469129800796509
56,683,38912,233.36184210526315,1000.0,19,180,-7.115823301672935,1e-05,-0.00277136239601532,16.787680497765542,0.00439453125,2.533503532409668,1.0045108795166016,0.0015505063,0.2,0.8800516203045845
59,682,40960,234.6625,1000.0,20,190,-7.117933596670627,1e-05,-0.0029094392990373307,15.778723206371069,0.00498046875,1.7215574979782104,1.004817008972168,0.0014051491,0.2,0.8738551586866379
